"INDI_ID","CSF","GM","WM","DGM","BS","Cerebellum"
28438,389428.96875,450499.9375,471951.9375,36356.99609375,14356.998046875,114716.984375
28424,284826.96875,445636.96875,367378.96875,34679.99609375,22006.998046875,147212.984375
28600,364921.96875,575327.9375,498039.96875,42442.99609375,16167.9990234375,115017.9921875
28636,281860.96875,447696.96875,349510.96875,33341.99609375,18746.998046875,139661.984375
28368,390298.96875,492626.96875,432703.96875,37322.99609375,13911.9990234375,87233.9921875
28388,327686,412799,439301,39826,13234,108021
28413,315642.96875,383292.96875,425714.96875,35399.99609375,21725.998046875,144835.984375
28615,329185.96875,385188.96875,399487.9375,39032.99609375,11266.9990234375,106622.984375
28457,353143.96875,501374.96875,438018.96875,36879.99609375,13531.9990234375,102624.9921875
28339,287065,488042,428974,36866,19388,138795
28639,342158.96875,487935.96875,484692.96875,38046.99609375,14841.9990234375,110472.9921875
28474,389816.96875,435128.96875,391218.96875,36447.99609375,18108.998046875,137849.984375
28480,243231.984375,453165.96875,339430.96875,35200.99609375,17160.998046875,154419.984375
28616,229882.984375,428693.96875,312218.96875,33181.99609375,18181.998046875,123977.9921875
28537,333428,524297,417728,36386,22959,160636
28358,331661.96875,541044.9375,473340.9375,38696.99609375,23570.998046875,165023.984375
28378,300684.96875,498411.96875,436198.96875,37420.99609375,22740.998046875,157466.984375
28557,289414,440389,434052,41811,21296,165646
28396,306657,460219,418213,37805,19170,163651
28490,265510,481333,428128,39341,21280,156506
28590,301133.96875,437662.9375,374501.96875,37303.99609375,20039.998046875,151919.984375
28587,307068.96875,494831.96875,451996.96875,34233.99609375,18861.998046875,154160.984375
28377,299095.96875,487666.9375,405511.9375,34018.99609375,20683.998046875,164746.984375
28518,346584.96875,470766.96875,422291.96875,35020.99609375,19313.998046875,146134.984375
28407,304892.96875,422008.96875,392205.96875,36289.99609375,12740.9990234375,97621.9921875
28612,244140.984375,411302.96875,382222.96875,33353.99609375,16657.998046875,114560.9921875
28542,303684.96875,403562.96875,387442.96875,34449.99609375,20250.998046875,134829.984375
28562,272056,557282,389252,38805,20278,167098
28365,232178.984375,599917.9375,404762.96875,39558.99609375,20093.998046875,141981.984375
28558,245820,608121,418967,40790,17981,153306
28599,289800,526712,377805,36998,19885,158013
28578,420473.9375,462285.9375,390836.96875,37153.99609375,20049.998046875,124968.984375
28336,319933,381486,432368,34992,12198,113428
28434,350788,450485,374359,36632,20636,155636
28403,329692,540582,477957,41373,19646,153446
28471,240358,444385,356371,33518,18248,133810
28477,280886.96875,556334.9375,427344.9375,37088.99609375,21128.998046875,153870.984375
28580,285840.96875,522990.96875,394140.96875,34832.99609375,18079.998046875,131200.984375
28448,372284.96875,439808.96875,448580.96875,38094.99609375,21701.998046875,153482.984375
28605,301321.9375,484769.90625,452207.90625,37668.9921875,21319.99609375,161318.96875
28421,291176,480884,381685,36237,20709,143045
28354,357559,466120,417090,41589,20872,160535
28602,237313,503160,373797,40174,22142,152978
28360,301858.96875,529741.9375,370752.96875,34069.99609375,11800.9990234375,79833.9921875
28527,267793,640163,442101,43546,22646,185053
28596,277633.96875,523301.96875,411923.96875,39038.99609375,22566.998046875,161913.984375
28554,283218,471880,396115,36025,15650,129500
28515,254311,523952,383403,38290,19334,142782
28625,264158.96875,489289.96875,379498.96875,34048.99609375,18472.998046875,137533.984375
28586,352574,481221,388599,36811,19984,155395
28572,437760,533107,502565,41849,28044,171550
28335,354334.96875,532150.9375,430718.96875,39542.99609375,11858.9990234375,89635.9921875
28577,275872.96875,512822.96875,416985.96875,35114.99609375,20100.998046875,164569.984375
28401,267215.96875,479439.96875,384417.96875,33825.99609375,18605.998046875,146925.984375
